bf7dabd009a2d6773faa96c05e708533a1c1a3b1,/,/.1,    [maven-release-plugin] rollback the release of mahout-14.1,/.2,/.3,100
991583abf6534a0a7118bfea3af60bf3170397d3,MAHOUT-1934,Improvement,OpenMP jars aren&apos;t being picked up in distributed Spark,,Blocker,100
b67034e22b04124c3ec449ef5e6f3cb0b7224e0b,MAHOUT-1920,Bug,Spark Dependency Reduced Jar Needs Open-MP,,Minor,100
9a31923eae3727d9d91bd2c2ed8df12a616a577e,MAHOUT-1856,New Feature,Create a framework for new Mahout Clustering  Classification  and Optimization  Algorithms,,Critical,100
f8596b8668ca5104a28efd54d0ceaab51a619c89,MAHOUT-1855,New Feature,Zeppelin integration: Visualization,,Major,100
034790cce40fcee2b7a875c482345d35f7c0fa8d,MAHOUT-1885,Improvement,Inital Implementation of VCL Bindings,Math,Major,99.86197378
84e90ed23327355f92abeb4aede8f3a9ee5b5867,MAHOUT-1895,Bug,Add convenience methods for converting Vectors to Scala types,,Minor,100
19182a81dcb76a3b7df55aad1d8d1086e2df7c0f,/,/,    Merge branch 'master' of https://git-wip-us.apache.org/repos/asf/mahout,/,/,100
8e0e8b5572e0d24c1930ed60fec6d02693b41575,MAHOUT-1906,Dependency upgrade,Ensure customJars are added to the MahoutContext under certain conditions for spark 1.6+,,Major,100
b289f4657fb8fe16f60f806ef2b2dee86f666e74,MAHOUT-1900,New Feature,Add a getter to DenseMatrix for the double[][] values field.,Math,Major,97.40791269
3e2d63c10b66a2e24ae65a575a7c2215f72e61cb,/,/,    closes apache/mahout#263,/,/,100
b3b72cb658ed6ad59a092eb554b06898163a1375,MAHOUT-1896,Bug,Add convenience methods for interacting with Spark ML,,Minor,100
1e081287671b186915148bedc05aae4384230c8f,MAHOUT-1901,Task,Remove h20 from the Binary Release Build,,Major,100
8a0a074898c345b73b17a058301acb01352db12b,MAHOUT-1875,Improvement,Use faster shallowCopy for dense matices in blockify drm/package.blockify(..),,Major,100
8c614a1661f58b42e84acf2b65de9e11703db7c2,/,/,    NoJira: Bump up Flink and Slf4j versions,/,/,100
00a2883ec69b0807a5486c61dfcc7ef27f35ddc6,/,/,    NOJIRA fixed the Kryo unable to serialze void problem,/,/,100
a511d6f45e88a133c16469fefb8087fa2dab7d94,/,/,    fixing a scoring problem,/,/,100
292b718a633efae5ff1b47772b9dd7bf9f1ca6da,MAHOUT-1888,Bug,Performance Bug with Mahout Vector Serialization,spark,Major,100
1f5e36f249aabc68495ec15f64f5ed6754d9f1e2,MAHOUT-1883,New Feature,Create a type if IndexedDataset that filters unneeded data for CCO,Collaborative Filtering,Major,100
c9ee7282d0c695a6eb76dda9590a5386309c758a,/,/,    Merge branch 'master' of https://git-wip-us.apache.org/repos/asf/mahout,/,/,100
20fdf9b9fb25dcae9e8b83242d777c373605576f,/,/,    No Jira: Update DOAP to the most recent release,/,/,100
b5c28791a001af4c4da4f3cd31979f58173cf0ec,/,/,    apply diamond operator where possible  this closes apache/mahout#257,/,/,100
02ff22f0bbf35c3c25094433cf66261985b3ce4d,/,/,    apply diamond operator where possible  this closes apache/mahout#258,/,/,100
e87567af05884506a37e8751df0fa7f41a9d94d0,/,/,    Add Apache license header to READMEmd  this closes apache/mahout#259,/,/,100
220c47493d30c0928e116af9210ab1786068ab13,/,/,    added tests for new CCO data filtering to the minimum subset needed,/,/,100
b5fe4aab22e7867ae057a6cdb1610cfa17555311,MAHOUT-1853,New Feature,Improvements to CCO (Correlated Cross-Occurrence),,Major,100
3351b75b3fbae173a2919c8c61268707ed193ec8,/,/,    Closes apache/mahout#62,/,/,100
edaddde9422a142ce07570b74278b42effd1853c,/,/,    Merge branch 'master' of github.com:andrewmusselman/mahout,/,/,100
25d0ac866edd4ff496950835746fce2519d379bf,/,/,    Closes apache/mahout#231 *Won't fix*,/,/,100
2f6399f3fd36f5074c2f4892407ed9d4f889fa07,MAHOUT-1881,Bug,flink-config.yaml is not copied to $MAHOUT_HOME/conf in Binary Distro ,Flink,Blocker,100
e73fdb8694e80e1e95a1213097434749726fd8af,MAHOUT-1865,Task,Remove Hadoop 1 support.,,Major,100
c5934c2f73cc0b07ca686f76330e085893283390,/,/,    this closes apache/mahout#254,/,/,100
a5e820c95c4f420d8f44dfc827fb2128c9f0750d,MAHOUT-1880,Task,Remove H2O Bindings from the release binaries ,build,Critical,100
f4a71d084958f2e1865efc8ac8115cd51e1e57d9,MAHOUT-1837,Improvement,Sparse/Dense Matrix analysis for Matrix Multiplication,Math,Major,100
b391c76502a5294284fe761de86f952fd91434a5,/,/,    Merge branch 'master' of https://github.com/apache/mahout,/,/,100
eb70eb820cbccb5d82750cd2f6541444bbb2e0dd,/,/,    Add Codecoverage maven plugin,/,/,100
476972d2e3c4b297ac66e711c121ce80fc621d50,/,/,    added maven code coverage plugin  this closes apache/mahout#250,/,/,100
4d0cd66a6269eb02fceaabdb11d70fd38d433474,MAHOUT-1876,Bug,Mahout fails to read from lucene index of solr-5.5.2,,Major,100
33c1eab1133d8f286fb3fd18a105789e7ebee44a,MAHOUT-1877,Improvement,Switch to Flink 1.1.0,Flink,Major,100
0ecb6685c2bb8fd2e8857967954d616a59cc2389,MAHOUT-1877,Improvement,Switch to Flink 1.1.0,Flink,Major,100
45ee3cf097f35735d49b6861c7b9fe04a3d7b562,/,/,    Added Coveralls badge,/,/,100
727e5be85c0326d9c009d9cdc361fe47ffa201ad,MAHOUT-1837,Improvement,Sparse/Dense Matrix analysis for Matrix Multiplication,Math,Major,100
d9940489d2f849d36af396d603f6170ab560e505,MAHOUT-1837,Improvement,Sparse/Dense Matrix analysis for Matrix Multiplication,Math,Major,100
cfe52f2fa178e0ac4bbb7b761551af88fd658ed0,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
b8ce2493d365dd72a426ebba48310995fe22468c,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
1a2b69384c9c3401b51c0127ff6d063518290d76,/,/,    Rolling back Mahout 0.12.2 Release candidate  thanks github connectivity issues,/,/,100
627900ac8d5ac7f17361bfa4dafcdef0682664ea,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
26bd91275eff3aefb5200025409750aa0f250e59,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
a7212d8a417b9d549cd5b5a7be13bc8831d5e9e0,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
8028859c46a7f65503ea5bb0682957d69355d83f,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
cbdac4f0b38e4afe87a9307cd0dd2a8fb0b1d3da,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
fc0697224e6f9e120b7ef237b6e8fe447c39b22d,/,/,    Rolling back Mahout 0.12.2 Release candidate  thanks github connectivity issues,/,/,100
b50582f2ac39b4f2f2e09670428448466f6257fb,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
ae5fc27584e478da52d16f85ef7d634a3726aec5,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
1141a8d3cb47f6c1e3f4a44d9397e2aba7ab43a1,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
2803873c35b0ddc9c92c86d295edee60f52d8af1,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
5c7491544eb69f60d4800a7a1544d0f725439197,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
f81a909d0f5fdb10e7100b808e01ef4bf2096394,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
fe8e39acb1335e2caf24748424aa85c4085c57af,/,/,    Rolling back Mahout 0.12.2 Release candidate  thanks github connectivity issues,/,/,100
a5513d893f21a0e5a32d509e5ce5e6725705e06f,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
45f022981b5d7d9a40d0862dc1ebdae6fdef4456,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
9fcb25d16a8b7d2dfd7e9f50e0d21f40e14c7f28,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
cc669ecd1af30fce77cf3dc00b56a1dec879dda8,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
93264ada89d6217651e7f86221e5fe218a346421,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
b2d995b2b36f6f7af060a2996e9310995973e41d,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
5a4ac4c30526e78e6cc9a5392f8903563a67dc7a,/,/,    Rolling back Mahout 0.12.2 Release candidate  thanks github connectivity issues,/,/,100
56b9dfbded0918e166bfce3503c8c2441849ac3b,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
4aae8df897d16eba9e7a309a5d2369cd099bc01d,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
151676d658f2b855ce740f80ccf5e64de8d4e2f1,/,/,    Rolling back Mahout 0.12.2 Release candidate  thanks github connectivity issues,/,/,100
0a05af48bf9dd7b33a18aff5ef96e013720b27b9,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
99779be8c465c48bbcf4dc18f7bfce51179390e2,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
d30b725042a8d19f75216aab2a9a7e1c95b6b95e,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
9de72fb018bb138d962b5fdd5e6e487b74c0fead,/,/,    Rolling back Mahout 0.12.2 Release candidate  thanks github connectivity issues,/,/,100
7d3cdcdcf948aa1f59986e540b608f6a4ef7182e,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
fdc4d9adf39f84bcf1bfcda402cb22a8f1096d26,/,/,    Rolling back Mahout 0.12.2 Release candidate  thanks github connectivity issues,/,/,100
a3f75765dad462ebc3115f777857e25da4fe3225,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
c082ad6629a786bd72e800ab89d6189a1037a4c7,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
d5a1ea4129206783c6eb83db370497c513931ecc,/,/,    Rolling back Mahout 0.12.2 Release candidate  thanks github connectivity issues,/,/,100
05476170196d20841578017de8511882f6522c7d,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
5ca7632212eabc01d174519eca0ddf89a54ae2b9,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
6654308f5beb7e22b123a5080d301543435dee7a,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
6a1d871807ea198a5df68f20c7337f6bae5d76f7,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
700e691940b39cca6b1a475646e6471046c96712,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
d53000f755920887add869f29f2b80eb311a58e6,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
2f8586bf0b56ca3be63376b89fe9ee0abd664bc7,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
abe1933390fbec6b9c2273373a5683fa688a739b,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
6576b95c02602f0526eedfde05504b0b748409d4,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
124f1eaa5e8a82fd1b2084e10dcd5d7a5a4e6a1a,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
f22a48358f82a14ba40724f30e486fc74fac0188,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
a414673a0f435d8ad7885bf19a9b0bc7a018fea6,/,/,    Rolling back Mahout 0.12.2 Release candidate  thanks github connectivity issues,/,/,100
0e79265c54d355ce12743022c9c610aa64445cae,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
8b581727461af9f30e820d7a437aa0ee2c91898c,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
4160fe62fbcc6d2ec4649773f84309097c0ba6d2,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
41506c889a75edcc5f4669328d566406af77d619,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
73a006da344c8b7811c55d5cc5abd7b1d85a8de4,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
dbefde439b37f3bf9729db1754019f2de34a6205,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
e8e6a6a7b4d0e015b6e120a34ef1ded964d59bd5,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
cab542cc7eb6618ae6ec9e0d140d621af95d9102,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
ed4c9392044f09ebc87e87df31136558d377f5a4,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
fbc1c450b4cf759e7220f083e27c6cfb26020ab2,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
5f5e12493d01862e9b8c964f8412abcd10b5c370,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
3324055a677e9ef238e37c11049216180f96f546,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
a12ff86ca2997945666f09605d9f9af3098aa904,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
0955d82f35ac54f4427e73e33a01dad455efeb76,/,/,    Rolling back 0.12.2 Release candidate 2,/,/,100
96cbc068fc5c434fab148246b94a5552d3f9a7b9,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
ebf883edbf9bdcd65d1091e773dd0b544c5ab83b,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
5ffae27612ce148783e8c8c511700e7c0edf2590,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
b635e05c031876e24c951b7c711ab517a6708774,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
c756eb54536499799472eabe8641404bc232d8e6,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
131f922bd3ec45ab3dc11111bcf54f6e87d6e3a6,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
9c901d74e2444e59eeae2d2a975959d8804bd8fd,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
e19f0a5c094a25e221adba54f4628943a0dd551a,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
0b88c1fe977b40dcc10b7e81330cb7bf8d7bba2e,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
de9aab2c63142b12448dc6512a598d6d8bca1cdf,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
38f5c58a20b534102e355ed696d5703ac1832db2,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
cc151e654aa2b0b9d2f9d054d48f39b7d44e6c3c,/,/,    [maven-release-plugin] rollback the release of mahout-0.12.2,/,/,100
d2ee18a7352b2b88812ec32873f11f5c02742892,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
a799cc460c93f21fe7f9a3f725f6e3cb40080300,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
34ecba4c109b9590eea048eca09c790d298f30ce,/,/,    Updated the shell version to 0.12.2 for the planned 0.12.2 release,/,/,100
9810ba3148cfbbacdae7d92a14d9debcf1b73759,/,/,    Rolling back 0.12.2 Release Candidate 1,/,/,100
c4c39880d96b218e960258bf11488dd021ccb996,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
acd515542f16eb6a570bd0796cf56256fd4df7f9,/,/,    [maven-release-plugin] prepare release mahout-0.12.2,/,/,100
2831ae40364b9b4eb74807198dce1a4be005e5e3,MAHOUT-1868,Task,purge smile plotting from the codebase,,Major,100
7ae549fa8e93bace810bf1c41df7cf45a72dcaa2,/,/,"    Revert ""(nojira) add native-viennaCL module to codebase. closes apache/mahout#241""",/,/,100
f7c1f8026296bae1eab9768564a871ea1dd6583b,/,/,    (nojira) add native-viennaCL module to codebase. closes apache/mahout#241,/,/,100
1fca0743aa7ba9642a1cadfefb149fcba15770ac,MAHOUT-1868,Task,purge smile plotting from the codebase,,Major,100
0381deb707d206a7ad9c09381306a55ba143f648,MAHOUT-1867,Improvement,upgrade 3rd party jars prior to next release,build,Trivial,100
8f4ee88fb40710d983ea3fb6ad008317f6c00936,MAHOUT-1866,Sub-task,Add matrix-to-tsv string function,visiualization,Major,100
1f3566d358d94a6e6a868cd74a83a553facea355,MAHOUT-1863,Bug,cluster-syntheticcontrol.sh errors out with &quot;Input path does not exist&quot;,,Minor,100
bd1f7bdabceeaaaffd3e7d9c372d40b3b714afc8,MAHOUT-1799,Improvement,Read null row vectors from file in TextDelimeterReaderWriter driver,spark,Minor,100
d38edb1cd4f0d4eed2e61b22f20f4a405e2cb13f,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
92ef9e599e64e2aad1e04f5e866a922af4ac71ce,/,/,    [maven-release-plugin] prepare release mahout-0.12.1,/,/,100
8554714235ace8f44c6ac81f6edfe1343bacee4c,MAHOUT-1859,Bug,Disable non working  msurf and mgrid before Mahout 0.12.1 release,,Minor,100
79a70dff924d30e634672e58ecc6cfac3265f82e,/,/,    1. Upgrade to Flink 1.0.3,/,/,100
6ab5a8d6456dfc52d7a951ae71618a6417516a07,MAHOUT-1848,Bug,drmSampleKRows in FlinkEngine should generate a dense or sparse matrix,Flink,Major,100
6ac833bdc78713effd3f94b97117a5f6cd6ffb7e,/,/,    NoJira: Fix Javadocs Warnings,/,/,100
4c85d6a48bcdd5c161f50f85ec1e7d278d1dbae0,MAHOUT-1847,Bug,drmSampleRows in FlinkEngine doesn&apos;t wrap Int Keys when ClassTag is of type Int,Flink,Major,100
616b87c07e3889609f10f08423c0e8992f8d6a43,MAHOUT-1838,New Feature,Provide plotting capabilities for Mahout matrices and DRMs ,visiualization,Major,100
aa327719837e3996e0018c0d1d221e9561d47152,/,/,    NoJira: cleanup IntelliJ warnings from last few commits,/,/,97.99554566
b0cede1e2725c16b039c18c4eb0ee4aa324d7389,MAHOUT-1838,New Feature,Provide plotting capabilities for Mahout matrices and DRMs ,visiualization,Major,100
0d6c4e02409a6f8da776d00dc661fd178a7630b2,MAHOUT-1841,Bug,Matrices.symmetricUniformView(...) returning values in the wrong range.,Math,Major,97.99554566
1127661fd96cac6d7584ba50b717bc67bda4aa43,MAHOUT-1841,Bug,Matrices.symmetricUniformView(...) returning values in the wrong range.,Math,Major,97.99554566
4105063d87178c93fd216c8eaeac85b83f506e73,MAHOUT-1838,New Feature,Provide plotting capabilities for Mahout matrices and DRMs ,visiualization,Major,100
9df093c98c985dce06841e31b40de4f7b9233069,MAHOUT-1836,Bug,Order and add missing paramters for DictionaryVectorizer.createTermFrequencyVectors() javadoc parameter comments.,Documentation,Trivial,100
d7a87936ef386476db88db323d19345b1064eae2,/,/,"    Revert ""reorder  javadoc  paramter comments""",/,/,100
383493d6c2d4f7b011030c3f00324f11042f381f,/,/,    reorder  javadoc  paramter comments,/,/,100
0c39c29998c8b6f93174bf7458f1b4732405c3e4,MAHOUT-1835,Improvement,Remove countsPerPartition in Flink/blas/package.scala,Flink,Minor,100
add081015e9b7c9c4a3a47f084a21680f7c2be7d,MAHOUT-1833,Improvement,Enhance svec function to accept cardinality as parameter ,Math,Major,100
bedcc3fbec6fcd3b7dcca83569040a2fb6cb851e,/,/,    Updated the logo for Mahout 0.12.1 release,/,/,100
c14a4d705272c0b5c22b1f88f4cbd286266e5dfe,/,/,    (nojira) travis: test math  hdfs  math-scala  spark only closes apache/mahout#225,/,/,100
536abe76b9a15f7e6482a82adf963b41905148fa,/,/,    add memory in travis profile in pom.xml,/,/,100
af73bd743c7020dd4ae3fde8f0aa803d54147d84,/,/,    fix travis profile in pom.xml,/,/,100
f7476a4b7c19947aecc61d56dc2783d19a06292a,/,/,    (nojira) use travis profile,/,/,100
ce54875d14cd7ca18753dfdf954389b4dccc606e,/,/,    (nojira) more edits travis conf: spelling,/,/,100
e75b1e0dd8e1ab764dc469b683307fe9b91eed6e,/,/,    (nojira) more edits to find travis working directory (it's different from that given in instructions),/,/,100
53e1c8db96a60ddd1f28516778ec6e2230ad437e,/,/,    (nojira) another edit to travis working directory (from that given in instructions),/,/,100
a8379ad36898b971f4f3f8ddc6bf01b6de67f64d,/,/,    (nojira) edit travis working directory (from that given in instructions),/,/,100
ea12bb60e2ae509f9ba5f98c5688eda2a8ff4813,/,/,    (nojira) 30 s ping script for travis,/,/,100
79539f1269dfb3e654a89e77d598908481073471,/,/,    reverting commits:,/,/,100
df1f064a08ffeef1f413c807d97664d3e6de8118,/,/,    (nojira): follow dl4j's travis configuration using a 30 second ping to keep long tests alive,/,/,100
48f05d6c0cc7790810225e138239b4b8418c2979,/,/,    (nojira) fix double install entry in .travis.yml.  also fix unreasonable memory request,/,/,100
3fe00616bf3c41befbd3dd70427451891bac742b,/,/,    (Nojira) minor fix to readme to trigger travis build.,/,/,100
9fcebb0efcea1f04e4c1cf4a40f12e907a79e80a,/,/,    (nojira) .travis.yml add travis_wait for timing out tests  use some settings from jenkins as MAVEN_OPTS,/,/,100
9c064b32b01af5192587b4da2d0ad259b4335e83,/,/,    NoJira: Add correct mvn version to travis.yml,/,/,100
91df36918221dcf6f553c8d51c4dbf4d14180fee,/,/,    NoJira: Add correct mvn version to travis.yml,/,/,100
8e605339896ae8e295f4e4029c92e5fddc96d427,/,/,    NoJira: Add correct mvn version to travis.yml,/,/,100
f26698dc7d8ce928229e39d152da35ac25e226e3,MAHOUT-1834,Task,Setup Travis CI for Mahout,,Major,100
2985b7cc463035cf991b5fa94cb6c9abd1592466,MAHOUT-1832,Improvement,Upgrade Jackson version and references to 2.x,build,Trivial,100
f344f642b2f195e2e83ffe84eacfd8e7851bd2cc,/,/,    NoJira: fix the scala variable in the flink pom,/,/,100
0db81f693c510f456ec99ff1bf339f817b448ed2,/,/,    NoJira: Fix the DOAP File for Mahout 0.12.0 Release,/,/,100
cefd0d3d3c62b756f4ebc90bf828e635d674cada,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
75c382f2129544a26d35889df7c15ab9d5ee9104,/,/,    [maven-release-plugin] prepare release mahout-0.12.0,/,/,100
e7086e7021803148a6cd00aee6b4cd785e1e2fba,/,/,    NoJira: Minor fix to previous commit  removed redundant system property definition,/,/,100
94b4fa1433c7a5e1950fb3f66cdba3c649445df8,/,/,    set properties for mahout.home in scalatest configuration in pom.xml for flink tests,/,/,100
b725255ad6414fc89b6a7276c86995fa7183f14c,/,/,    fix conflict on root pom,/,/,100
4a917824f7b8366fcb19b222f80fd210c37707ec,/,/,    Merge branch 'master' of https://git-wip-us.apache.org/repos/asf/mahout,/,/,100
fcdeef6d70042c5433e70f827df11fe79dd274f4,/,/,    fix conflicts on master,/,/,100
eabf90d73e7aa664eb4f9f8b3166f748e547b506,/,/,    NoJira: added dependency path for flink in ReadMe.md,/,/,100
f115633fd4de83afd1be1cc8ced61580cc426604,/,/,    Merging branch flink-binding to master,/,/,100
165460e4b6f2f2febc85c56db765a2f91028d31b,/,/,    merge flink-bindings into master,/,/,98.26989619
c5659b5fe841afc8df70c39645db268cc2c85c30,/,/,    Rolling back 0.12.0 Release Candidate 1,/,/,100
612380e1d38c3920a66611dc0d614d9e50472671,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
4e7d106a6b958fa11f849262a4359e937c4bb882,/,/,    [maven-release-plugin] prepare release mahout-0.12.0,/,/,100
1f5fc5243053b933a65b8277bc9743cd8e94b5a7,MAHOUT-1829,New Feature,Add Flink module to build tools,nk,Blocker,100
6667bb0adf206ef5cc86520c8e211b8553ed98b3,/,/,    (nojira) fix tmp directory for cache. closes apache/mahout#220,/,/,100
6fc0100827268d1dcac473980d79707683914880,/,/,    Rolling back 0.12.0 Release Candidate,/,/,100
837448483c0eb18fee62176e22b9053b0670a3bb,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
abfc756373ba8277b72477cd9a2c4ac4e6fdf833,/,/,    [maven-release-plugin] prepare release mahout-0.12.0,/,/,100
0987e9949879ff1e595f39eeb08cf5aa505ad2b4,/,/,    (noJira) copy test data into /examples/bin/resources dir so that it is availbe in the binary distro,/,/,100
71609ad61ce02feeaa641c0cedb75e707d6c9b7d,/,/,    Merge branch 'flink-binding' of https://git-wip-us.apache.org/repos/asf/mahout into flink-binding,/,/,100
472438bc83a51bcc08518e44daff4ec5f3bf81e9,MAHOUT-1818,Bug,dals test failing in Flink-bindings,Flink,Major,100
4856d5fdf8010127e2e7951a0045b8cc2cae9ce3,MAHOUT-1828,Bug,Change the access of blas method in sparkbindings,Flink,Major,100
681d30e54f1f90a75733990056f864ab6c7c9cc6,/,/,    NoJira: Remove comment references to Spark and fix the Javadocs,/,/,100
430310dbf7870e263ea0340df9b226655ce82a72,MAHOUT-1814,New Feature,Implement drm2intKeyed in flink bindings,,Major,100
7c275f06e618624ac5bdc269b19d328a6c2b6983,MAHOUT-1821,New Feature,Use a mahout-flink-conf.yaml configuration file for Mahout specific Flink configuration,Flink,Major,100
00a09dc7243bddf89d5dd22888397c94f4b7ca77,/,/,    (nojira) Pulling newer readme into this branch,/,/,98.26989619
eccbc4e1eefb89d198633f4138870e1a64eacfea,MAHOUT-1766,Improvement,Increase default PermGen size for spark-shell,Mahout spark shell,Major,98.26989619
2edb274d56a257dabf9d7f559e71d5b22ff021f0,/,/,    Merge branch 'flink-binding' of https://git-wip-us.apache.org/repos/asf/mahout into flink-binding,/,/,100
1aae3321b554adaf18f6c56abe1d7e4835c13cab,MAHOUT-1766,Improvement,Increase default PermGen size for spark-shell,Mahout spark shell,Major,100
c9c89627b29156525d1cae714629c59bd011ba53,MAHOUT-1826,Bug,Fix wikipedia example,,Blocker,100
a2101110e9a932ac547c025c7267ffa88ecbe271,/,/,    NoJira: Fix missing license header,/,/,100
4fc65d4e26957cfef68eb30e0bf712758e21a5a1,MAHOUT-1824,Bug,Optimize FlinkOpAtA to use upper triangular matrices ,Flink,Major,100
2861732da34a87c48f7da77576ca2a75837a54e4,/,/,    NoJira: Remove deprecated DataSetOps.scala,/,/,100
209b9460050695cdf42cb75dfcff5482792c342d,/,/,    NoJira: Upgrade to Flink 1.0.1,/,/,100
c1d79ff4c2e38325736f09a8a35eb7ba2625509d,MAHOUT-1823,Improvement,Modify MahoutFlinkTestSuite to implement FlinkTestBase,Flink,Major,100
c75f3e2de00ffb2014d765e904a3c754169039c7,MAHOUT-1822,Improvement,Update NOTICE.txt  License.txt to add Apache Flink,Documentation,Minor,100
5863bbf1587cabef68f470fc8cd4812a2c1f8f79,MAHOUT-1820,Improvement,Add a method to generate Tuple&lt;PartitionId  Partition elements count&gt;&gt; to support Flink backend,Flink,Major,100
f0e22e28c8da53a0c26233afd4d363dcc035ee7d,MAHOUT-1819,Improvement,Set the default Parallelism for Flink execution in FlinkDistributedContext ,Flink,Major,100
99c32f2d9008e1a48c52183c638792bdbd4766f4,/,/,    NoJira: Minor fixes for style  closes apache/mahout#205,/,/,100
b67398f933d50d3e4f00ebd7ccd57f17b96604c7,MAHOUT-1817,New Feature,Implement caching in Flink Bindings,Flink,Blocker,100
f9111ac27334659b2fb55849319dcd8e113b3c25,/,/,    revert commits:,/,/,100
48a8a8208322ed690d5356a4e0cac7667b080bab,/,/,    comment out parallization settting in cache(),/,/,100
e420485e0b82908919985a892f85c7d6dff9d24b,/,/,    Comments  cleanup,/,/,100
f0ee522c69a1f47f0d4da263e9f1669404155b5e,MAHOUT-1817,New Feature,Implement caching in Flink Bindings,Flink,Blocker,100
a77f1c13de58d462eed7ff224ec333b22ac22bf3,MAHOUT-1749,Task,Mahout DSL for Flink: Implement Atx,Math,Minor,100
b45f982581b2a2bed75b771672b4f2d66ef32840,/,/,    move getMahoutHome(),/,/,100
